" PROPTYPE","HVACTYPE"
"Commercial","Complete HVAC"
"Commercial","Central Air to Air"
"Commercial","Cool Air in Heat Ducts"
"Commercial","Cool Air Seperate Ducts"
"Commercial","Electric"
"Commercial","Electric Baseboard"
"Commercial","650"
"Commercial","Electric Radiant"
"Commercial","Error"
"Commercial","Electric Wall"
"Commercial","Evaporative Cooling"
"Commercial","Floor/Wall Furnace"
"Commercial","Forced Air"
"Commercial","Heat Pump"
"Commercial","Heat Pump Individual Unit"
"Commercial","Floor Wall Furnace"
"Commercial","Hot Chilled Water"
"Commercial","Hot Water Baseboard"
"Commercial","Hot Water Radiant"
"Commercial","Hot Water"
"Commercial","None"
"Commercial","Package Unit"
"Commercial","Radiant"
"Commercial","Space Heater"
"Commercial","Steam"
"Commercial","Radiant Panels"
"Commercial","Steam w/o Boiler"
"Commercial","Warm and Cool Air Zone"
"Commercial","Steam wo Boiler"
"Commercial","Ventilation"
"Commercial","Wood Stove"
"Condo","Ventilation"
"Condo","Warm and Cool Air Zone"
"Condo","Steam w/o Boiler"
"Condo","Steam"
"Condo","Space Heater"
"Condo","Radiant"
"Condo","Package Unit"
"Condo","Oil Fired"
"Condo","None"
"Condo","Hot Water"
"Condo","Hot Water Radiant"
"Condo","Hot Water Baseboard"
"Condo","Hot Chilled Water"
"Condo","Heat Pump Individual Unit"
"Condo","Heat Pump"
"Condo","Forced Air"
"Condo","Floor/Wall Furnace"
"Condo","Electric Wall"
"Condo","Error"
"Condo","Electric Radiant"
"Condo","Electric Panel"
"Condo","Electric Baseboard"
"Condo","Electric"
"Condo","Cool Air Seperate Ducts"
"Condo","Cool Air in Heat Ducts"
"Condo","Central Air to Air"
"Condo","Complete HVAC"
"Duplex","Central Air to Air"
"Duplex","Cool Air in Heat Ducts"
"Duplex","Cool Air Seperate Ducts"
"Duplex","Electric"
"Duplex","Electric Baseboard"
"Duplex","Electric Panel"
"Duplex","Electric Radiant"
"Duplex","Error"
"Duplex","Evaporative Cooling"
"Duplex","Floor/Wall Furnace"
"Duplex","Forced Air"
"Duplex","Heat Pump"
"Duplex","Heat Pump Individual Unit"
"Duplex","Floor Wall Furnace"
"Duplex","Hot Water Baseboard"
"Duplex","Hot Water Radiant"
"Duplex","None"
"Duplex","Oil Fired"
"Duplex","Space Heater"
"Duplex","Warm and Cool Air Zone"
"Manufactured Hm","Warm and Cool Air Zone"
"Manufactured Hm","Space Heater"
"Manufactured Hm","None"
"Manufactured Hm","Floor Wall Furnace"
"Manufactured Hm","Heat Pump"
"Manufactured Hm","Forced Air"
"Manufactured Hm","Floor/Wall Furnace"
"Manufactured Hm","Evaporative Cooling"
"Manufactured Hm","Error"
"Manufactured Hm","Cool Air Separate Ducts"
"Manufactured Hm","Electric Baseboard"
"Manufactured Hm","Electric"
"Manufactured Hm","Cool Air Seperate Ducts"
"Manufactured Hm","Cool Air in Heat Ducts"
"Manufactured Hm","Central Air to Air"
"Multiple Unit","Central Air to Air"
"Multiple Unit","Complete HVAC"
"Multiple Unit","Cool Air in Heat Ducts"
"Multiple Unit","Cool Air Seperate Ducts"
"Multiple Unit","Electric"
"Multiple Unit","Electric Baseboard"
"Multiple Unit","Electric Panel"
"Multiple Unit","Electric Radiant"
"Multiple Unit","Error"
"Multiple Unit","Evaporative Cooling"
"Multiple Unit","Floor/Wall Furnace"
"Multiple Unit","Forced Air"
"Multiple Unit","Heat Pump"
"Multiple Unit","Heat Pump Individual Unit"
"Multiple Unit","Floor Wall Furnace"
"Multiple Unit","Hot Chilled Water"
"Multiple Unit","Hot Water Baseboard"
"Multiple Unit","None"
"Multiple Unit","Oil Fired"
"Multiple Unit","Package Unit"
"Multiple Unit","Hot Water Radiant"
"Multiple Unit","Hot Water"
"Multiple Unit","Space Heater"
"Multiple Unit","Steam"
"Multiple Unit","Warm and Cool Air Zone"
"Out Building","Warm and Cool Air Zone"
"Out Building","Ventilation"
"Out Building","Steam"
"Out Building","Steam w/o Boiler"
"Out Building","Space Heater"
"Out Building","Radiant"
"Out Building","Hot Water"
"Out Building","Hot Water Radiant"
"Out Building","Package Unit"
"Out Building","None"
"Out Building","Hot Water Baseboard"
"Out Building","Hot Chilled Water"
"Out Building","Floor Wall Furnace"
"Out Building","Heat Pump Individual Unit"
"Out Building","Heat Pump"
"Out Building","Forced Air"
"Out Building","Floor/Wall Furnace"
"Out Building","Evaporative Cooling"
"Out Building","Electric Wall"
"Out Building","Error"
"Out Building","Electric Radiant"
"Out Building","Electric Baseboard"
"Out Building","Electric"
"Out Building","Cool Air Seperate Ducts"
"Out Building","Cool Air in Heat Ducts"
"Out Building","Central Air to Air"
"Residential","Central Air to Air"
"Residential","Complete HVAC"
"Residential","18"
"Residential","19"
"Residential","20"
"Residential","21"
"Residential","22"
"Residential","Cool Air in Heat Ducts"
"Residential","Cool Air Seperate Ducts"
"Residential","Electric"
"Residential","Electric Baseboard"
"Residential","Electric Radiant"
"Residential","Electric Panel"
"Residential","Cool Air Separate Ducts"
"Residential","Air Exchange"
"Residential","Blowers and Ducts"
"Residential","Error"
"Residential","Electric Wall"
"Residential","Evaporative Cooling"
"Residential","Floor/Wall Furnace"
"Residential","Forced Air"
"Residential","Heat Pump"
"Residential","Heat Pump Individual Unit"
"Residential","Floor Wall Furnace"
"Residential","Hot Water Baseboard"
"Residential","None"
"Residential","Package Unit"
"Residential","Oil Fired"
"Residential","Hot Water Radiant"
"Residential","Hot Water"
"Residential","Glass Panel Electric"
"Residential","Ground Loop Heat System"
"Residential","Exhaust Fan and Air inlets"
"Residential","Individual Thru Wall Heat Pump"
"Residential","Radiant"
"Residential","Space Heater"
"Residential","Refrigerated AC Zoned Sys"
"Residential","Refrigerated Pkg Short Ducts"
"Residential","Ventilation"
"Residential","Wood Stove"
"Residential","Warm and Cool Air Zone"
"Townhouse","Warm and Cool Air Zone"
"Townhouse","Hot Water Radiant"
"Townhouse","Oil Fired"
"Townhouse","None"
"Townhouse","Hot Water Baseboard"
"Townhouse","Heat Pump Individual Unit"
"Townhouse","Heat Pump"
"Townhouse","Forced Air"
"Townhouse","Floor/Wall Furnace"
"Townhouse","Evaporative Cooling"
"Townhouse","Error"
"Townhouse","Electric Panel"
"Townhouse","Electric Radiant"
"Townhouse","Electric Baseboard"
"Townhouse","Electric"
"Townhouse","Cool Air Seperate Ducts"
"Townhouse","Cool Air in Heat Ducts"
"Townhouse","Central Air to Air"
"Triplex","Central Air to Air"
"Triplex","Cool Air in Heat Ducts"
"Triplex","Electric Baseboard"
"Triplex","Electric Radiant"
"Triplex","Electric Panel"
"Triplex","Error"
"Triplex","Floor/Wall Furnace"
"Triplex","Forced Air"
"Triplex","Heat Pump"
"Triplex","Heat Pump Individual Unit"
"Triplex","Hot Water Baseboard"
"Triplex","Floor Wall Furnace"
"Triplex","None"
"Triplex","Oil Fired"
